master_id,canonical_id,chapter_no,chapter_title,section_no,section_title,source_entry_title,source_file,source_status,source_page_start,notes
YK-0040,YKC-0001,1,ヨガとヨガの実践について,1.1,ヨガの語源,ヨガの定義,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0040,YKC-0001,3,パタンジャリの『ヨガ・スートラ』序説,3.1,ヨガ：その定義,ヨガ：その定義,10.5ヨガ本第3章パタンジャリの『ヨガ・スートラ』序説＿チェック済.docx,checked,,
YK-0040,YKC-0001,3,パタンジャリの『ヨガ・スートラ』序説,3.1,ヨガ、その定義,ヨガ、その定義,10.5ヨガ本第3章パタンジャリの『ヨガ・スートラ』序説＿チェック済.docx,checked,,
YK-0041,YKC-0002,1,ヨガとヨガの実践について,1.10,ヨガの実践のためのガイドライン,ヨガの実践のためのガイドライン,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0042,YKC-0003,1,ヨガとヨガの実践について,1.10,ヨガの実践のガイドライン10,ヨガの実践のガイドライン10,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0048,YKC-0004,1,ヨガとヨガの実践について,1.1,ヨガの語源,ヨガの語源,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0050,YKC-0005,1,ヨガとヨガの実践について,1.10,ヨガの実践のガイドライン10,ヨガを行う前,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0051,YKC-0006,1,ヨガとヨガの実践について,1.10,ヨガの実践のガイドライン10,ヨガを行った後,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0052,YKC-0007,1,ヨガとヨガの実践について,1.10,ヨガの実践のガイドライン10,ヨガを行っている間,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0003,YKC-0008,1,ヨガとヨガの実践について,1.2,ヨガの歴史と発展,アーサナ（āsana）：体の姿勢（ポーズ）,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0030,YKC-0009,1,ヨガとヨガの実践について,1.2,ヨガの歴史と発展,プラーナーヤーマ（prāṇāyāma）：呼吸の制御による生命力の制御,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0036,YKC-0010,1,ヨガとヨガの実践について,1.2,ヨガの歴史と発展,ヤマ（yama）：社会的な禁止事項/遵守事項や倫理的価値,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0044,YKC-0011,1,ヨガとヨガの実践について,1.2,ヨガの歴史と発展,ヨガの歴史,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
